organizaca;participante;dataMovimentoC420;dataMovimentoC490;valorTotalNFeC420;valorTotalNFeC490;operacao;emissao;modFrete;satECF;quantidade;valorTotalC420;valorTotalC490;cstICMS;CFOP;sufixoCFOP;aliquotaICMS;baseICMS;valorICMS
42591651055479;CONSUMIDORFINAL3136702;17012018;17012018;112,5;112,5;Saida;Propria;Sem cobranca de frete;25;1.0;91,5;91,5;0;5102;X.102;8.4;91.50;7,69
42591651055479;CONSUMIDORFINAL3136702;17012018;;112,5;0;Saida;Propria;Sem cobranca de frete;25;1.0;21;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;18012018;18012018;20,5;20,5;Saida;Propria;Sem cobranca de frete;25;1.0;20,5;20,5;0;5102;X.102;8.4;20.50;1,72
42591651055479;CONSUMIDORFINAL3136702;19012018;19012018;258;258;Saida;Propria;Sem cobranca de frete;25;1.0;214,5;214,5;0;5102;X.102;8.4;214.50;18,02
42591651055479;CONSUMIDORFINAL3136702;19012018;;258;0;Saida;Propria;Sem cobranca de frete;25;1.0;33,5;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;19012018;19012018;258;258;Saida;Propria;Sem cobranca de frete;25;1.0;10;10;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;20012018;20012018;72,5;72,5;Saida;Propria;Sem cobranca de frete;25;1.0;53;53;0;5102;X.102;8.4;53.00;4,45
42591651055479;CONSUMIDORFINAL3136702;20012018;;72,5;0;Saida;Propria;Sem cobranca de frete;25;1.0;19,5;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;21012018;21012018;104;104;Saida;Propria;Sem cobranca de frete;25;1.0;104;104;0;5102;X.102;8.4;104.00;8,74
42591651055479;CONSUMIDORFINAL3136702;22012018;22012018;222,5;222,5;Saida;Propria;Sem cobranca de frete;25;1.0;209;209;0;5102;X.102;8.4;209.00;17,56
42591651055479;CONSUMIDORFINAL3136702;22012018;;222,5;0;Saida;Propria;Sem cobranca de frete;25;1.0;13,5;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;23012018;23012018;103,5;103,5;Saida;Propria;Sem cobranca de frete;25;1.0;86,5;86,5;0;5102;X.102;8.4;86.50;7,27
42591651055479;CONSUMIDORFINAL3136702;23012018;;103,5;0;Saida;Propria;Sem cobranca de frete;25;1.0;17;0;;;;0.0;0;0
